,Apt ID,Apt Latitude,Apt Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,0,33.81358400000001,-84.39187749999998,Varasano's Pizzeria,33.813754351852616,-84.39214752267372,Pizza Place
1,0,33.81358400000001,-84.39187749999998,Mezzo Apartment Homes,33.813707,-84.39200500000001,Residential Building (Apartment / Condo)
2,0,33.81358400000001,-84.39187749999998,BP,33.814175981110736,-84.39157346172627,Gas Station
3,0,33.81358400000001,-84.39187749999998,Third Eye Tribe,33.81303164143072,-84.39245649364011,Gym / Fitness Center
4,0,33.81358400000001,-84.39187749999998,Houston's,33.81337973338016,-84.39261856207878,American Restaurant
5,0,33.81358400000001,-84.39187749999998,The Fresh Market,33.81216990221935,-84.39177338705258,Grocery Store
6,0,33.81358400000001,-84.39187749999998,AbsoluteCARE Medical Center & Pharmacy,33.81292282311596,-84.39326020616954,Doctor's Office
7,0,33.81358400000001,-84.39187749999998,Clash graphics,33.813037,-84.393683,Design Studio
8,0,33.81358400000001,-84.39187749999998,Cleantopia Cleaners,33.814447917990734,-84.39152050678496,Laundry Service
9,0,33.81358400000001,-84.39187749999998,The Shops of Buckhead,33.814623913187795,-84.39151935349962,Shopping Plaza
10,0,33.81358400000001,-84.39187749999998,Lohmann Dental,33.814759437154414,-84.39103785666794,Dentist's Office
11,0,33.81358400000001,-84.39187749999998,Enterprise Rent-A-Car,33.81313161395369,-84.39216385782173,Rental Car Location
12,0,33.81358400000001,-84.39187749999998,Emory at Peachtree Hills,33.81409443,-84.392463,Medical Center
13,0,33.81358400000001,-84.39187749999998,Brookwood Square,33.813037,-84.393683,Miscellaneous Shop
14,0,33.81358400000001,-84.39187749999998,Wells Fargo,33.81450192730941,-84.39247123897077,Bank
15,0,33.81358400000001,-84.39187749999998,Benihana,33.812584487239874,-84.39199009016279,Japanese Restaurant
16,0,33.81358400000001,-84.39187749999998,Urgent Care at Peachtree,33.812894310221104,-84.3937567116394,Health & Beauty Service
17,0,33.81358400000001,-84.39187749999998,Big Al's Gourmet Butter Made Burgers,33.81462892988234,-84.39157810009297,Burger Joint
18,0,33.81358400000001,-84.39187749999998,Wax Thread & Scissors,33.814631,-84.391396,Salon / Barbershop
19,0,33.81358400000001,-84.39187749999998,Cafe Sunflower Buckhead,33.81277725321376,-84.39312175692716,Vegetarian / Vegan Restaurant
20,0,33.81358400000001,-84.39187749999998,Ear Nose Throat Institute,33.8126354076129,-84.39291567887335,Doctor's Office
21,0,33.81358400000001,-84.39187749999998,Any Lab Test Now,33.814721433913626,-84.3910664319992,Laboratory
22,0,33.81358400000001,-84.39187749999998,Pho Kitchen,33.814583,-84.39126999999999,Vietnamese Restaurant
23,0,33.81358400000001,-84.39187749999998,TAGS II,33.81295868236585,-84.3930250468823,Boutique
24,0,33.81358400000001,-84.39187749999998,Bombshell Brows,33.814728,-84.39108,Health & Beauty Service
25,0,33.81358400000001,-84.39187749999998,Poke City,33.8151136473573,-84.39127564430238,Poke Place
26,0,33.81358400000001,-84.39187749999998,Alexis Suitcase Consignment Shop,33.81450862168722,-84.39157189269022,Women's Store
27,0,33.81358400000001,-84.39187749999998,Tag Boutique,33.813037,-84.393683,Boutique
28,0,33.81358400000001,-84.39187749999998,Nail Magic,33.81449103355408,-84.39154599999999,Nail Salon
29,0,33.81358400000001,-84.39187749999998,Carter Vu Salon,33.81465602340197,-84.3915457991746,Salon / Barbershop
30,0,33.81358400000001,-84.39187749999998,Painting with a Twist,33.813037,-84.393683,Art Studio
31,0,33.81358400000001,-84.39187749999998,Buckhead Custom Frames,33.813037,-84.393683,Arts & Crafts Store
32,0,33.81358400000001,-84.39187749999998,Brookwood Village Shopping Center,33.812836674406576,-84.39339802325894,Miscellaneous Shop
33,0,33.81358400000001,-84.39187749999998,Bowen Luxury Suite,33.813769412233434,-84.39204847530122,Residential Building (Apartment / Condo)
34,0,33.81358400000001,-84.39187749999998,CamiCakes,33.81483735581109,-84.3914270902403,Cupcake Shop
35,0,33.81358400000001,-84.39187749999998,Venue Brookwood,33.81266,-84.39626,Residential Building (Apartment / Condo)
36,0,33.81358400000001,-84.39187749999998,The UPS Store,33.814682486595935,-84.3911032159386,Shipping Store
37,0,33.81358400000001,-84.39187749999998,Top of the parking deck!,33.81246752812664,-84.39169953771454,Residential Building (Apartment / Condo)
38,0,33.81358400000001,-84.39187749999998,Vida-Flo Buckhead:  The Hydration Station,33.81457,-84.39116,Spa
39,0,33.81358400000001,-84.39187749999998,Audiological Consultants,33.8128433532205,-84.39331592236611,Doctor's Office
40,0,33.81358400000001,-84.39187749999998,Emory Rehabilitation Outpatient Center,33.810485,-84.391735,Physical Therapist
41,0,33.81358400000001,-84.39187749999998,Tyga Cage,33.813598117440556,-84.39233070271837,Residential Building (Apartment / Condo)
42,0,33.81358400000001,-84.39187749999998,Salon 2e,33.813235593544604,-84.39298580709641,Cosmetics Shop
43,0,33.81358400000001,-84.39187749999998,Ju-Fit Juice Bar and Fitness,33.812252,-84.39255899999999,Juice Bar
44,0,33.81358400000001,-84.39187749999998,ENT Institute - Atlanta/Buckhead,33.8127571,-84.39244980000001,Doctor's Office
45,0,33.81358400000001,-84.39187749999998,Peachtree Park Apartments,33.813503000000004,-84.389551,Residential Building (Apartment / Condo)
46,2,33.8036017,-84.39742340000002,Camden Brookwood Apartments,33.80283928001587,-84.39826073743438,Residential Building (Apartment / Condo)
47,2,33.8036017,-84.39742340000002,Blink & Wink Eyelash Extensions,33.80283606619965,-84.39695903925174,Salon / Barbershop
