,SystemName,SchoolName,Cluster,Street,City,Zip_Code,SingleScore,Latitude,Longitude
242,Cobb County,Chalker Elementary School,E,325 N Booth Rd NW,Kennesaw,30144,80.3,34.0452901,-84.56149775332037
243,Cobb County,Nickajack Elementary School,E,4555 Mavell Rd SE,Smyrna,30082,74.8,33.8438899,-84.5167075
244,Cobb County,Lindley Middle School,M,50 Veterans Memorial Hwy SE,Mableton,30126,65.5,33.81208653586306,-84.55285998144363
245,Cobb County,Pitner Elementary School,E,4575 Wade Green Rd NW,Acworth,30102,79.1,34.06503535,-84.59197530777777
246,Cobb County,Austell Elementary School,E,5600 Mulberry St,Austell,30106,74.0,33.816275,-84.633151
247,Cobb County,Allatoona High School,H,3300 Dallas Acworth Hwy NW,Acworth,30101,89.7,34.037719,-84.736245
248,Cobb County,Smyrna Elementary School,E,1099 Fleming St SE,Smyrna,30080,70.8,33.890575749999996,-84.52186205424891
249,Cobb County,Kincaid Elementary School,E,1410 Kincaid Rd,Marietta,30066,70.8,34.0009339,-84.5104875
250,Cobb County,Pine Mountain Middle School,M,2720 Pine Mountain Cir NW,Kennesaw,30152,69.4,33.9881521,-84.63202759360624
251,Cobb County,Lewis Elementary School,E,4179 Jim Owens Rd NW,Kennesaw,30152,84.6,34.01545,-84.67305
252,Cobb County,Mountain View Elementary School,E,3448 Sandy Plains Rd,Marietta,30066,91.9,34.034115299999996,-84.46307636507437
253,Cobb County,Campbell Middle School,M,3295 Atlanta Rd SE,Smyrna,30080,71.1,33.87312871428571,-84.49919971428571
254,Cobb County,Shallowford Falls Elementary School,E,3529 Lassiter Rd,Marietta,30062,83.7,34.035287,-84.43802642058611
255,Cobb County,Ford Elementary School,E,1345 Mars Hill Rd NW,Acworth,30101,81.0,34.0410796,-84.692417
256,Cobb County,Frey Elementary School,E,2865 Mars Hill Rd NW,Acworth,30101,89.8,34.0410796,-84.692417
257,Cobb County,Cheatham Hill Elementary School,E,1350 John Ward Rd SW,Marietta,30064,81.3,33.9217633,-84.62102313011493
258,Cobb County,Durham Middle School,M,2891 Mars Hill Rd NW,Acworth,30101,84.5,34.0410796,-84.692417
259,Cobb County,Acworth Elementary School,E,4220 Cantrell Rd NW,Acworth,30101,77.4,34.05721725,-84.65253631403161
260,Cobb County,Kennesaw Charter Science and Math Academy ,E,3010 Cobb Pkwy NW,Kennesaw,30152,72.2,33.9875524,-84.5726371
261,Cobb County,Riverside Primary School,E,461 S Gordon Rd SW,Mableton,30126,66.9,33.7938029,-84.5586865
262,Cobb County,Rocky Mount Elementary School,E,2400 Rocky Mountain Rd,Marietta,30066,82.7,34.0490252,-84.4804762
263,Cobb County,Davis Elementary School,E,2433 Jamerson Rd,Marietta,30066,86.7,34.0691214,-84.5208857
264,Cobb County,Nicholson Elementary School,E,1599 Shallowford Rd,Marietta,30066,73.9,34.05197005,-84.50438355697057
265,Cobb County,Green Acres Elementary School,E,2000 Gober Ave SE,Smyrna,30080,52.4,33.90433268319021,-84.53495534510813
266,Cobb County,Sanders Elementary School,E,1550 Anderson Mill Rd,Austell,30106,69.8,33.847760693166464,-84.60056820674477
267,Cobb County,Blackwell Elementary School,E,3470 Canton Rd,Marietta,30066,76.7,34.03653025,-84.52608224008922
268,Cobb County,Hendricks Elementary School,E,5243 Meadows Rd,Powder Springs,30127,72.3,33.825221,-84.67679966666667
269,Cobb County,Kennesaw Elementary School,E,3155 Jiles Rd NW,Kennesaw,30144,57.1,34.031842499999996,-84.62889217970266
270,Cobb County,Barber Middle School,M,4222 Cantrell Rd NW,Acworth,30101,75.8,34.05960795,-84.652693499434
271,Cobb County,Tapp Middle School,M,3900 Macedonia Rd,Powder Springs,30127,75.5,33.87578095,-84.66831765271789
272,Cobb County,Sope Creek Elementary School,E,3320 Paper Mill Rd,Marietta,30067,92.2,33.9394884,-84.4407049
273,Cobb County,Powder Springs Elementary School,E,4570 Grady Grier Dr,Powder Springs,30127,61.9,33.85209085714286,-84.67915214285715
274,Cobb County,Timber Ridge Elementary School,E,5000 Timber Ridge Rd,Marietta,30068,93.3,33.9952253,-84.40564234911102
276,Cobb County,Lost Mountain Middle School,M,700 Old Mountain Rd NW,Kennesaw,30152,85.0,33.970573849999994,-84.69011859189862
277,Cobb County,Big Shanty Intermediate School,E,1575 Ben King Rd NW,Kennesaw,30144,73.0,34.0272886,-84.59671753435146
278,Cobb County,McClure Middle School,M,3660 Old Stilesboro Rd NW,Kennesaw,30152,90.7,34.004214000000005,-84.6568370440014
279,Cobb County,Bryant Elementary School,E,6800 Factory Shoals Rd SW,Mableton,30126,59.5,33.789184,-84.575859
280,Cobb County,Lovinggood Middle School,M,3825 Luther Ward Rd,Powder Springs,30127,79.6,33.9264438,-84.66345339238364
281,Cobb County,Devereux Ackerman Academy,EMH,1291 Stanley Rd NW,Kennesaw,30152,27.9,33.990533,-84.607414
282,Coweta County,Willis Road Elementary School,E,430 Willis Rd,Sharpsburg,30277,78.6,33.3620312,-84.6481668
283,Coweta County,Lee Middle School,M,370 Willis Rd,Sharpsburg,30277,83.6,33.3620014,-84.6513036
284,Coweta County,Newnan Crossing Elementary School,E,1267 Lower Fayetteville Rd,Newnan,30265,84.3,33.3762295,-84.74854822932649
285,Coweta County,Jefferson Parkway Elementary School,E,154 Millard Farmer Ind Blvd,Newnan,30263,72.3,33.399473238978864,-84.78595047165503
286,Coweta County,Northgate High School,H,3220 Fischer Rd,Newnan,30265,83.5,33.4682153,-84.6661808
287,Coweta County,Poplar Road Elementary School,E,2925 Poplar Rd,Sharpsburg,30277,59.2,33.3559089,-84.7340271
288,Coweta County,Welch Elementary School,E,240 Mary Freeman Rd,Newnan,30265,67.7,33.36180225862414,-84.71238433620694
289,Coweta County,Smokey Road Middle School,M,965 Smokey Rd,Newnan,30263,71.2,33.3766487,-84.7993366
290,Coweta County,Arnall Middle School,M,700 Lora Smith Rd,Newnan,30265,86.3,33.390146,-84.701519
291,DeKalb County,Narvie Harris Elementary School,E,3981 McGill Dr,Decatur,30034,57.4,33.66722387452974,-84.22745421683534
292,DeKalb County,Wynbrooke Elementary School,E,440 Wicksbury Way,Stone Mountain,30087,89.1,33.78765591836735,-84.11031181632653
293,DeKalb County,"Martin Luther King, Jr. High School ",H,3991 Snapfinger Rd,Lithonia,30038,58.0,33.66441159412026,-84.19568069162763
294,DeKalb County,Miller Grove High School,H,2645 Dekalb Medical Pkwy,Lithonia,30058,66.2,33.70944235,-84.15003760674585
295,DeKalb County,Flat Rock Elementary School,E,4603 Evans Mill Rd,Lithonia,30038,53.0,33.65853389656469,-84.15858772018376
296,DeKalb County,Princeton Elementary School,E,1321 S Deshon Rd,Lithonia,30058,73.0,33.760086821636335,-84.11494151087241
297,DeKalb County,DeKalb Preparatory Academy ,EM,1402 Austin Dr,Decatur,30032,59.4,33.75129901441428,-84.23381015508471
298,DeKalb County,Cedar Grove High School,H,2360 River Rd,Ellenwood,30294,67.0,33.6764201,-84.2943401160586
299,DeKalb County,Redan High School,H,5247 Redan Rd,Stone Mountain,30088,61.7,33.75992067012843,-84.17746378164559
300,DeKalb County,Eldridge Miller Elementary School,E,919 Martin Rd,Stone Mountain,30088,50.6,33.769802,-84.178785
301,DeKalb County,Panola Way Elementary School,E,2170 Panola Way Ct,Lithonia,30058,56.2,33.72974265702614,-84.16962764207368
302,DeKalb County,Peachtree Charter Middle School,M,4664 N Peachtree Rd,Atlanta,30338,75.1,33.9313043,-84.29660823815476
303,DeKalb County,Pine Ridge Elementary School,E,750 Pine Ridge Dr,Stone Mountain,30087,65.0,33.77319082769453,-84.12146608867135
304,DeKalb County,Browns Mill Elementary School,E,4863 Browns Mill Rd,Lithonia,30038,67.9,33.677693078861296,-84.18755639255969
305,DeKalb County,Chapel Hill Middle School,M,3535 Dogwood Farm Rd,Decatur,30034,53.1,33.679497876583476,-84.21520110653944
307,DeKalb County,Marbut Elementary School,E,5776 Marbut Rd,Lithonia,30058,70.9,33.727831615384616,-84.15078238461538
308,DeKalb County,Cedar Grove Middle School,M,2300 Wildcat Rd,Decatur,30034,68.3,33.6871761,-84.2951982
309,DeKalb County,Lithonia High School,H,2440 Phillips Rd,Lithonia,30058,65.8,33.71896288505346,-84.13049772707394
310,DeKalb County,Lithonia Middle School,M,2451 Randall Ave,Lithonia,30058,61.8,33.715012076923074,-84.10957153846155
311,DeKalb County,Redan Middle School,M,1775 Young Rd,Lithonia,30058,64.1,33.740267235821214,-84.15590185746991
312,DeKalb County,Museum School of Avondale Estates,EM,923 Forrest Boulevard,Decatur,30030,86.9,33.7689901,-84.2710755
313,DeKalb County,Rockbridge Elementary School,E,2084 Green Forrest Dr,Decatur,30032,75.0,33.7283404316596,-84.25930057580536
315,DeKalb County,Cedar Grove Elementary School,E,2330 River Rd,Ellenwood,30294,66.7,33.6759412,-84.2968674
316,DeKalb County,Stone Mountain High School,H,4555 Central Dr,Stone Mountain,30083,60.5,33.81163620067036,-84.20327865496091
317,DeKalb County,Salem Middle School,M,5333 Salem Rd,Lithonia,30038,58.1,33.67840866666667,-84.171396
318,DeKalb County,Shadow Rock Elementary School,E,1040 Kingway Drive,Lithonia,30058,62.5,33.7635306,-84.144674
319,DeKalb County,"Edward L. Bouie, Sr. Traditional Theme School",E,5100 Rock Springs Rd,Lithonia,30038,75.6,33.689196,-84.186133
320,DeKalb County,Columbia Middle School,M,3001 Columbia Dr,Decatur,30034,59.6,33.70095008072844,-84.25189624247862
321,DeKalb County,Oakview Elementary School,E,3574 Oakvale Rd,Decatur,30034,64.4,33.6794893877551,-84.26964053061225
322,DeKalb County,Wadsworth Magnet School,EM,3039 Santa Monica Drive,Decatur,30032,89.2,33.744309033898375,-84.26608659992439
323,DeKalb County,Leadership Preparatory Academy,EM,6400 Woodrow Rd,Lithonia,30038,84.1,33.6989132,-84.1365143
324,DeKalb County,The GLOBE Academy,EM,2225 Heritage Dr NE,Atlanta,30345,88.0,33.84904565,-84.29083555850087
325,DeKalb County,Tapestry Public Charter School,MH,3130 Raymond Dr,Doraville,30340,62.9,33.8861401,-84.27577371404756
326,DeKalb County,Stephenson Middle School,M,922 Stephenson Rd,Stone Mountain,30087,59.6,33.77304107669879,-84.11598669893748
327,DeKalb County,Robert Shaw Traditional Theme School,E,385 Glendale Rd,Scottdale,30079,87.9,33.78717693972205,-84.25431333224148
328,DeKalb County,Mary McLeod Bethune Middle School,M,5200 Covington Hwy,Decatur,30035,53.6,33.732620074897746,-84.20200409480643
329,DeKalb County,Chamblee Middle School,M,3601 Sexton Woods Dr,Chamblee,30341,77.4,33.89592,-84.311865
330,DeKalb County,Ronald E. McNair Discovery Learning Academy,E,2162 Second Ave,Decatur,30032,56.8,-33.8086197,151.0210892
331,DeKalb County,Bob Mathis Elementary School,E,3505 Boring Rd,Decatur,30034,72.6,33.690528927697954,-84.24138239497361
332,DeKalb County,Stephenson High School,H,701 Stephenson Rd,Stone Mountain,30087,61.9,33.775621,-84.124594
333,DeKalb County,DeKalb Alternative School,MH,5855 Memorial Dr,Stone Mountain,30083,36.5,33.8004703,-84.2018011
334,DeKalb County,Stone Mountain Middle School,M,4301 Sarr Parkway,Stone Mountain,30083,70.0,33.83409526630103,-84.21154589372382
335,DeKalb County,The Champion School,M,5265 Mimosa Dr,Stone Mountain,30083,78.1,33.80586048979592,-84.17325171428571
336,DeKalb County,Stone Mill Elementary School,E,4900 Sheila Ln,Stone Mountain,30083,71.0,33.815302581042936,-84.18858589706974
337,DeKalb County,Miller Grove Middle School,M,2215 Miller Rd,Decatur,30035,54.7,33.72487843000216,-84.18186444190536
338,DeKalb County,Tucker Middle School,M,2160 Idlewood Rd,Tucker,30084,69.6,33.8473944456077,-84.21336772142394
339,DeKalb County,Arabia Mountain High School,H,6610 Browns Mill Road,Lithonia,30038,84.8,33.64583409898941,-84.13364135341138
340,DeKalb County,Woodridge Elementary School,E,4120 Cedar Ridge Trl,Stone Mountain,30083,65.5,33.742164733709146,-84.19930188486744
341,DeKalb County,DeKalb Path Academy,EM,3007 Hermance Dr NE,Atlanta,30319,74.0,33.87650033350494,-84.3382273966146
342,DeKalb County,Henderson Middle School,M,2830 Henderson Mill Rd,Chamblee,30341,71.7,33.868108346938776,-84.25064732653061
343,DeKalb County,International Community School,E,2418 Wood Trail Ln,Decatur,30033,67.2,33.80189809292612,-84.2897276279033
344,DeKalb County,Elizabeth Andrews High School,H,1701 Mountain Industrial Blvd,Stone Mountain,30083,37.6,33.83162188625984,-84.19788768402377
345,DeKalb County,Druid Hills Middle School,M,3100 Mount Olive Dr,Decatur,30033,75.1,33.818591257416855,-84.2722374682194
346,Douglas County,Chapel Hill High School,H,4899 Chapel Hill Rd,Douglasville,30135,74.1,33.672361,-84.720336
347,Douglas County,Yeager Middle School,M,4000 Kings Hwy,Douglasville,30135,73.3,33.6956556,-84.77056841625406
348,Douglas County,North Douglas Elementary School,E,1630 Dorris Rd,Douglasville,30134,71.9,33.76192332033604,-84.78465919978926
349,Douglas County,Bill Arp Elementary School,E,6550 Alexander Pkwy,Douglasville,30135,72.7,33.68255792594728,-84.8015650281432
350,Douglas County,Factory Shoals Middle School,M,3301 Shoals School Rd,Douglasville,30135,69.6,34.8502847,-82.5247559
351,Douglas County,Mason Creek Elementary School,E,3400 Johnston Rd,Winston,30187,82.8,33.71370116590888,-84.83393777878509
352,Douglas County,Mason Creek Middle School,M,7777 Mason Creek Road,Winston,30187,78.2,33.7255218,-84.8272993
353,Douglas County,Lithia Springs Comprehensive High School,H,2520 E County Line Rd,Lithia Springs,30122,65.2,33.75427139496476,-84.66172506112382
354,Douglas County,Arbor Station Elementary School,E,9999 Parkway S,Douglasville,30135,74.8,33.713746,-84.753291
355,Douglas County,Dorsett Shoals Elementary School,E,5866 Dorsett Shoals Rd,Douglasville,30135,71.7,33.680764,-84.767131
356,Douglas County,Alexander High School,H,6500 Alexander Pkwy,Douglasville,30135,76.6,33.6839166,-84.7888035
357,Douglas County,Chestnut Log Middle School,M,2544 Pope Rd,Douglasville,30135,71.3,33.736584,-84.696957
358,Douglas County,Bright Star Elementary School,E,6300 John West Rd,Douglasville,30134,84.0,33.7271657,-84.7908297
359,Douglas County,New Manchester Elementary School,E,2242 Old Lower River Rd,Douglasville,30135,71.8,33.70818225114169,-84.64973604112731
360,Douglas County,Chapel Hill Elementary School,E,4433 Coursey Lake Rd,Douglasville,30135,73.1,33.685885047450334,-84.7370014695937
362,Douglas County,Factory Shoals Elementary School,E,2375 Mount Vernon Rd,Lithia Springs,30122,75.4,33.740075567516826,-84.64859839937814
363,Douglas County,Sweetwater Elementary School,E,2505 E County Line Rd,Lithia Springs,30122,71.3,33.753917990356115,-84.65453324297775
364,Douglas County,Mirror Lake Elementary School,E,2613 Tyson Rd,Villa Rica,30180,81.5,33.730899226100284,-84.87930395981952
365,Douglas County,Burnett Elementary School,E,8277 Connally Dr,Douglasville,30134,76.6,33.75455627464964,-84.72865223100565
366,Douglas County,Brighten Academy,EM,5897 Prestley Mill Rd,Douglasville,30135,87.9,33.7366105,-84.7282922
367,Douglas County,Eastside Elementary School,E,8266 Connally Dr,Douglasville,30134,72.1,33.75507797059928,-84.72875925141862
369,Fayette County,Cleveland Elementary School,E,190 Lester Rd,Fayetteville,30215,69.2,33.44301799066229,-84.51363498329953
370,Fayette County,Crabapple Lane Elementary School,E,450 Crabapple Ln,Peachtree City,30269,78.9,33.44140517127063,-84.59166074930856
371,Fayette County,Whitewater High School,H,100 Wildcat Way,Fayetteville,30215,88.1,44.602578,-105.6759316
372,Fayette County,Bennett's Mill Middle School,M,210 Lester Rd,Fayetteville,30215,79.5,33.44289153866976,-84.51328721040548
373,Fayette County,Inman Elementary School,E,677 Inman Rd,Fayetteville,30215,86.7,33.38980763049088,-84.41767026454256
374,Fayette County,Booth Middle School,M,250 S Peachtree Pkwy,Peachtree City,30269,87.1,33.40554289900887,-84.56696878690062
375,Fayette County,Huddleston Elementary School,E,200 McIntosh Trl,Peachtree City,30269,83.1,33.38538794840482,-84.5688845113105
376,Fayette County,North Fayette Elementary School,E,609 Kenwood Rd,Fayetteville,30214,82.8,33.510909,-84.470107
377,Fayette County,Peeples Elementary School,E,153 Panther Path,Fayetteville,30215,83.3,33.3436121,-84.521254
378,Fayette County,Robert J. Burch Elementary School,E,330 Jenkins Rd,Tyrone,30290,82.3,33.495106254364735,-84.56562299958641
379,Fayette County,Fayette County High School,H,1 Tiger Trl,Fayetteville,30214,81.6,33.452491,-84.460455
380,Fayette County,Fayetteville Elementary School,E,490 Hood Ave,Fayetteville,30214,68.2,33.456765544895354,-84.46462974187966
381,Fayette County,Flat Rock Middle School,M,325 Jenkins Rd,Tyrone,30290,79.9,33.49526732593139,-84.56750194760893
382,Forsyth County,Matt Elementary School,E,7455 Wallace Tatum Rd,Cumming,30028,78.2,34.290609219690936,-84.20038016568846
383,Forsyth County,Cumming Elementary School,E,540 Dahlonega St,Cumming,30040,83.7,34.2190169,-84.1343118
384,Forsyth County,West Forsyth High School,H,4155 Drew Rd,Cumming,30040,89.3,34.21195212126924,-84.21372283177914
385,Forsyth County,Mashburn Elementary School,E,3777 Samples Rd,Cumming,30041,90.5,34.16769970410813,-84.10844894482017
386,Forsyth County,Coal Mountain Elementary School,E,3455 Coal Mountain Dr,Cumming,30028,78.3,33.634138,-86.231454
387,Forsyth County,South Forsyth High School,H,585 Peachtree Pkwy,Cumming,30041,90.8,34.15100318518518,-84.17351292592593
388,Forsyth County,Chattahoochee Elementary School,E,2800 Holtzclaw Rd,Cumming,30041,77.3,34.23555799987572,-84.08675518381042
390,Forsyth County,North Forsyth High School,H,3635 Coal Mountain Dr,Cumming,30028,84.4,33.634138,-86.231454
391,Forsyth County,Vickery Creek Elementary School,E,6280 Post Rd,Cumming,30040,88.8,34.176875,-84.222967
392,Forsyth County,Vickery Creek Middle School,M,6240 Post Rd,Cumming,30040,88.5,34.178190025475466,-84.22173474433593
393,Forsyth County,Otwell Middle School,M,605 Tribble Gap Rd,Cumming,30040,85.3,34.21796937174501,-84.13891691696502
394,Forsyth County,Sawnee Elementary School,E,1616 Canton Hwy,Cumming,30040,86.3,34.239776353442196,-84.17633824107209
395,Forsyth County,Little Mill Middle School,M,6800 Little Mill Rd,Cumming,30041,71.2,34.1571847,-84.0790219
396,Forsyth County,Lambert High School,H,805 Nichols Rd,Suwanee,30024,93.2,34.10686535,-84.13838125956266
397,Forsyth County,Haw Creek Elementary School,E,2555 Echols Rd,Cumming,30041,88.1,34.164713200675855,-84.10030315328186
398,Forsyth County,Forsyth Virtual Academy,MH,1130 Dahlonega Hwy,Cumming,30040,89.9,34.232391920734266,-84.12434392260863
399,Forsyth County,Liberty Middle School,M,7465 Wallace Tatum Rd,Cumming,30028,77.1,34.29058571549639,-84.20045617463674
401,Forsyth County,Kelly Mill Elementary School,E,1180 Chamblee Gap Rd,Cumming,30040,87.7,34.20803199536401,-84.16836190225374
402,Forsyth County,Piney Grove Middle School,M,8135 Majors Rd,Cumming,30041,90.7,34.14242256847378,-84.17550851520507
403,Forsyth County,North Forsyth Middle School,M,3645 Coal Mountain Dr,Cumming,30028,85.9,33.634138,-86.231454
404,Forsyth County,Brandywine Elementary School,E,175 Martin Drive,Alpharetta ,30004,86.5,34.128566358836046,-84.24774578051067
405,Forsyth County,DeSana Middle School,M,625 James Road,Alpharetta ,30004,83.0,34.12758375903614,-84.24615188353414
406,Fulton County,Hembree Springs Elementary School,E,815 Hembree Rd,Roswell,30076,74.6,34.060921,-84.3369104
407,Fulton County,Renaissance Middle School ,M,7155 Hall Rd,Fairburn,30213,64.1,33.615135,-84.625285
408,Fulton County,Renaissance Elementary School,E,7250 Hall Rd,Fairburn,30213,60.6,33.61437775,-84.62818760309153
409,Fulton County,Feldwood Elementary School,E,5790 Feldwood Rd,College Park,30349,48.7,33.5981458,-84.5156324
410,Fulton County,The Main Street Academy ,EM,2861 Lakeshore Dr,College Park,30337,69.4,33.64016113331202,-84.48169278828868
411,Fulton County,Hapeville Charter Career Academy,H,6045 Buffington Rd,College Park,30349,67.9,33.5916512,-84.4986562
412,Fulton County,Esther Jackson Elementary School,E,1400 Martin Road,Roswell,30076,70.7,34.010307,-84.3183579
413,Fulton County,Benjamin Banneker High School,H,6015 Feldwood Rd,College Park,30349,66.1,33.5912921,-84.516068
414,Fulton County,Crabapple Middle School,M,10700 Crabapple Rd,Roswell,30075,85.5,34.0400993,-84.3635372
415,Fulton County,Camp Creek Middle School,M,4345 Welcome All Rd,College Park,30349,67.5,33.63646597151173,-84.52750200626018
416,Fulton County,Roswell High School,H,11595 King Rd,Roswell,30075,88.7,34.06121665,-84.38284183774947
417,Fulton County,Hapeville Elementary School,E,3440 N Fulton Ave,Hapeville,30354,74.1,33.660355,-84.4076072
418,Fulton County,New Prospect Elementary School,E,3055 Kimball Bridge Rd,Alpharetta,30022,85.2,34.050217450000005,-84.26834355
419,Fulton County,Northwood Elementary School,E,10200 Wooten Rd,Roswell,30076,88.7,34.029484350000004,-84.30657251900254
420,Fulton County,Centennial High School,H,9310 Scott Rd,Roswell,30076,81.0,34.005942812390984,-84.28882475475461
421,Fulton County,Stonewall Tell Elementary School,E,3310 Stonewall Tell Rd,College Park,30349,73.9,33.664931800000005,-84.59203745116294
422,Fulton County,Hillside Elementary School,E,9250 Scott Rd,Roswell,30076,87.2,34.0099416,-84.2960237
423,Fulton County,Dunwoody Springs Elementary School,E,8100 Roberts Dr,Sandy Springs,30350,72.9,33.9766819,-84.3414834
424,Fulton County,S. L. Lewis Elementary School,E,6201 Connell Rd,College Park,30349,50.8,33.576352150000005,-84.50402524663897
425,Fulton County,Love T. Nolan Elementary School,E,2725 Creel Rd,College Park,30349,49.9,33.5723148,-84.48061126874114
426,Fulton County,C.H. Gullatt Elementary School,E,6110 Dodson Rd,Union City,30291,68.9,33.58770527908707,-84.5925106708252
427,Fulton County,Holcomb Bridge Middle School,M,2700 Holcomb Bridge Rd,Alpharetta,30022,72.4,33.9946672,-84.2818033
428,Fulton County,Creekside High School,H,7405 Herndon Rd,Fairburn,30213,64.2,33.5562965,-84.6241801
429,Fulton County,Palmetto Elementary School,E,505 Carlton Rd,Palmetto,30268,72.8,33.5295012,-84.6717197
430,Fulton County,Sweet Apple Elementary School,E,12025 Etris Rd,Roswell,30075,84.0,34.091689,-84.370838
431,Fulton County,Manning Oaks Elementary School ,E,405 Cumming St,Alpharetta,30004,79.9,34.079864850880135,-84.28576969478569
432,Fulton County,Heritage Elementary School,E,2600 Jolly Rd,Atlanta,30349,68.7,33.6111346,-84.47422099572401
433,Fulton County,Elkins Pointe Middle School,M,11290 Elkins Rd,Roswell,30076,83.1,34.056104,-84.3348074
434,Fulton County,Cogburn Woods Elementary School,E,13080 Cogburn Rd,Milton,30004,76.9,34.09884280726676,-84.28089164380978
435,Fulton County,Autrey Mill Middle School,M,4110 Old Alabama Rd,Johns Creek,30022,88.0,34.018408,-84.241316
436,Fulton County,Mountain Park Elementary School,E,11895 Mountain Park Rd,Roswell,30075,85.1,34.07118165,-84.40438719627227
438,Fulton County,McClarin Success Academy,H,3605 Main St,College Park,30337,37.1,33.6566884,-84.4488997
439,Fulton County,Haynes Bridge Middle School,M,10665 Haynes Bridge Rd,Alpharetta,30022,81.4,34.035958990547904,-84.2814217889762
440,Fulton County,Independence High School,H,86 School Dr,Alpharetta,30009,48.5,34.07771389850887,-84.29802649847639
441,Fulton County,A. Philip Randolph Elementary School,E,5320 Campbellton Rd SW,Atlanta,30331,73.1,33.70542373893417,-84.56194644460535
442,Fulton County,River Eves Elementary School,E,9000 Eves Rd,Roswell,30076,87.0,33.99565071717172,-84.30568638383838
443,Fulton County,Shakerag Elementary School,E,10885 Rogers Cir,Johns Creek,30097,93.4,34.04595573733653,-84.13035748571077
444,Fulton County,Wilson Creek Elementary School,E,6115 Wilson Rd,Johns Creek,30097,87.3,34.03491439595539,-84.18161577977027
445,Fulton County,Amana Academy,EM,285 S Main St,Alpharetta,30009,91.9,34.0702683,-84.2974482
446,Fulton County,Medlock Bridge Elementary School,E,10215 Medlock Bridge Pkwy,Johns Creek,30022,88.0,34.02947665,-84.19064827633684
447,Fulton County,Webb Bridge Middle School,M,4455 Webb Bridge Rd,Alpharetta,30005,93.1,34.06773635239366,-84.23014494727433
448,Fulton County,Hamilton E. Holmes Elementary School,E,2301 Connally Dr,East Point,30344,63.3,33.696071,-84.462994
449,Fulton County,Liberty Point Elementary School,E,9000 Highpoint Rd,Union City,30291,73.7,33.598428,-84.565
450,Fulton County,Sandtown Middle School ,M,5400 Campbellton Rd SW,Atlanta,30331,68.7,33.702801253417,-84.56403581584814
451,Fulton County,Taylor Road Middle School,M,5150 Taylor Rd,Johns Creek,30022,90.8,34.0528191,-84.2093953
452,Fulton County,Hapeville Charter Middle School,M,3535 South Fulton Avenue,Hapeville,30354,60.8,33.657435,-84.410198
453,Fulton County,Tri-Cities High School,H,2575 Harris St,East Point,30344,62.6,33.6848289,-84.4357355
454,Fulton County,Ocee Elementary School,E,4375 Kimball Bridge Rd,Johns Creek,30022,88.4,34.055215925313696,-84.23138240488564
455,Fulton County,Woodland Elementary School,E,1130 Spalding Dr,Atlanta,30350,84.8,33.959848378378375,-84.34956740540541
457,Fulton County,Paul D. West Middle School,M,2376 Headland Dr,East Point,30344,55.4,33.6905611,-84.466435
458,Fulton County,Lake Forest Elementary School,E,5920 Sandy Springs Cir,Sandy Springs,30328,66.4,33.9242688,-84.3785379
459,Gwinnett County,Rock Springs Elementary School,E,888 Rock Springs Rd,Lawrenceville,30043,84.5,34.04886533705516,-84.00622416118753
460,Gwinnett County,Grayson High School,H,50 Hope Hollow Rd,Loganville,30052,83.3,33.8685422,-83.9240404
461,Gwinnett County,Norcross High School,H,5300 Spalding Dr,Norcross,30092,74.2,33.966946199999995,-84.21201888315217
462,Gwinnett County,Trickum Middle School ,M,130 Killian Hill Rd SW,Lilburn,30047,81.4,33.885257770164614,-84.11971486336463
463,Gwinnett County,Centerville Elementary School,E,3115 Centerville Hwy,Snellville,30039,78.4,33.8563981,-84.0209043
464,Gwinnett County,R.D. Head Elementary  School,E,1801 Hewatt Rd SW,Lilburn,30047,89.6,33.851356,-84.064152
465,Gwinnett County,Shiloh High School,H,4210 Shiloh Rd,Snellville,30039,65.9,33.82417522756119,-84.07333009962566
466,Gwinnett County,Pinckneyville Middle School,M,5440 W Jones Bridge Rd,Norcross,30092,83.7,33.984409400000004,-84.22904741550508
467,Gwinnett County,Meadowcreek High School,H,4455 Steve Reynolds Blvd,Norcross,30093,68.0,33.923119,-84.14716126923078
468,Gwinnett County,Richards Middle School,M,3555 Sugarloaf Pkwy,Lawrenceville,30044,81.3,33.92566857473916,-84.02151393809947
469,Gwinnett County,Phoenix High School,H,501 W Pike St,Lawrenceville,30046,56.8,33.96297895,-84.00477230108618
470,Gwinnett County,Dacula Elementary School,E,2500 Fence Rd,Dacula,30019,80.1,33.9857934,-83.9296458
471,Gwinnett County,Craig Elementary School,E,1075 Rocky Rd,Lawrenceville,30044,89.9,33.902266350000005,-84.01824525169707
472,Gwinnett County,Collins Hill High School,H,50 Taylor Rd,Suwanee,30024,81.0,34.0166,-84.0221
473,Gwinnett County,Harbins Elementary School,E,3550 New Hope Rd,Dacula,30019,91.6,33.94321564499973,-83.85569714450656
474,Gwinnett County,Crews Middle School,M,1000 Old Snellville Hwy,Lawrenceville,30044,88.5,33.907997,-84.011182
475,Gwinnett County,Meadowcreek Elementary School,E,5025 Georgia Belle Ct,Norcross,30093,66.9,33.92063705938938,-84.16828662304154
476,Gwinnett County,Freeman's Mill Elementary School,E,2303 Old Peachtree Rd,Lawrenceville,30043,81.8,34.022845041564715,-83.9310626062347
