,SystemName,SchoolName,Cluster,Street,City,Zip_Code,SingleScore,Latitude,Longitude
55,Fulton County,Lake Windward Elementary School,E,11770 East Fox Court,Alpharetta,30005,95.7,34.06786254538064,-84.21059943740424
56,Fulton County,Crabapple Crossing Elementary School,E,12775 Birmingham Highway,Milton,30004,93.9,34.093212300000005,-84.3377702709048
57,Fulton County,Northview High School,H,10625 Parsons Road,Johns Creek,30097,92.5,34.03911975,-84.17762775214132
58,Fulton County,Alpharetta High School,H,3595 Webb Bridge Road,Alpharetta,30005,94.1,34.07826354553282,-84.25557612238448
59,Fulton County,Findley Oaks Elementary School,E,5880 Findley Chase Drive,Johns Creek,30097,98.4,34.06093355,-84.18647066994461
60,Fulton County,State Bridge Crossing Elementary School,E,5530 State Bridge Road,Johns Creek,30022,92.1,34.023346095796335,-84.1977909787889
61,Fulton County,Chattahoochee High School,H,5230 Taylor Road,Johns Creek,30022,95.9,34.048021201606076,-84.20914057398808
62,Fulton County,River Trail Middle School,M,10795 Rogers Circle,Johns Creek,30097,91.8,34.043115773251635,-84.12998118404913
63,Fulton County,Northwestern Middle School,M,12805 Birmingham Highway,Milton,30004,92.5,34.095919949999995,-84.3371639816806
64,Fulton County,Johns Creek High School,H,5575 State Bridge Road,Johns Creek,30022,94.2,34.0224378,-84.19291935685692
65,Gwinnett County,Benefield Elementary School,E,1221 Old Norcross Road,Lawrenceville,30046,86.3,33.9535502175432,-84.02852117021254
66,Gwinnett County,Brookwood High School,H,1255 Dogwood Road SW,Snellville,30078,91.6,33.8694779,-84.0163171
67,Gwinnett County,Berkeley Lake Elementary School,E,4300 South Berkeley Lake Road NW,Duluth,30096,90.1,33.979423,-84.18625
68,Gwinnett County,Walnut Grove Elementary School,E,75 Taylor Road,Suwanee,30024,94.3,34.01792807152955,-84.02096566503977
70,Gwinnett County,Annistown Elementary School,E,3150 Spain Road,Snellville,30039,83.0,33.802331,-84.070319
71,Gwinnett County,Fort Daniel Elementary School,E,1725 Auburn Road,Dacula,30019,91.8,34.040495032630254,-83.91871585083632
72,Gwinnett County,Sugar Hill Elementary School,E,939 Level Creek Road,Sugar Hill,30518,94.9,34.0997823,-84.040009
73,Gwinnett County,Hull Middle School,M,1950 Old Peachtree Road NW,Duluth,30097,94.8,34.01470769443499,-84.10404715118439
74,Gwinnett County,Berkmar Middle School,M,4355 Lawrenceville Highway,Lilburn,30047,77.3,33.90083098215844,-84.12808179277312
75,Gwinnett County,Ivy Creek Elementary School,E,3443 Ridge Road,Buford,30519,92.4,34.09621473271371,-83.93804598322544
76,Gwinnett County,Gwin Oaks Elementary School,E,400 Gwin Oaks Drive,Lawrenceville,30044,92.8,33.894928,-84.06851
77,Gwinnett County,Arcado Elementary School,E,5150 Arcado Road SW,Lilburn,30047,91.5,33.8926177,-84.1135313
78,Gwinnett County,Pharr Elementary School,E,1500 North Road SW,Snellville,30078,90.4,33.891443622087635,-84.00633711649672
79,Gwinnett County,Riverside Elementary School,E,5445 Settles Bridge Road,Suwanee,30024,98.5,34.09363915,-84.09692935594448
80,Gwinnett County,Glenn C. Jones Middle School,M,3575 Ridge Road,Buford,30519,93.2,34.10187336002338,-83.9385232564887
81,Gwinnett County,Puckett's Mill Elementary School,E,2442 South Puckett's Mill Road,Dacula,30019,93.7,34.07272,-83.93303
82,Gwinnett County,Simpson Elementary School,E,4525 East Jones Bridge Road,Peachtree Corners,30092,97.2,33.997742034350274,-84.2295798255202
83,Gwinnett County,McConnell Middle School,M,550 Ozora Road,Loganville,30052,83.2,33.893294999999995,-83.91374118181818
84,Gwinnett County,Sycamore Elementary School,E,5695 Sycamore Road,Sugar Hill,30518,84.3,34.12612861059312,-84.04573869570429
85,Gwinnett County,Trip Elementary School,E,841 Cooper Road,Grayson,30017,96.6,33.871277631984846,-83.96001693074443
