,ZipCode,NumReturns,Total_Income ($1k)
3317,31041,30,1688
3318,31041,40,3975
3319,31041,0,0
3320,31041,0,0
3322,31042,760,28818
3323,31042,360,5153
3324,31042,210,7367
3325,31042,90,5143
3326,31042,50,4276
3327,31042,50,6879
3328,31042,0,0
3330,31044,1130,52913
3331,31044,480,6735
3332,31044,360,12877
3333,31044,140,8742
3334,31044,70,6318
3335,31044,80,18241
3336,31044,0,0
3338,31046,1400,98561
3339,31046,460,5611
3340,31046,280,10034
3341,31046,220,14178
3342,31046,170,14855
3343,31046,200,27018
3344,31046,70,26865
3346,31047,6520,492406
3347,31047,1690,20040
3348,31047,1200,45141
3349,31047,1050,65616
3350,31047,920,80439
3351,31047,1420,190407
3352,31047,240,90763
3354,31049,630,28879
3355,31049,260,3284
3356,31049,150,5757
3357,31049,100,5941
3358,31049,60,5279
3359,31049,60,8618
3360,31049,0,0
3362,31050,300,12179
3363,31050,120,1656
3364,31050,100,3649
3365,31050,40,2398
3366,31050,20,2001
3367,31050,20,2475
3368,31050,0,0
3370,31052,4020,239370
3371,31052,1380,17674
3372,31052,950,34742
3373,31052,630,38829
3374,31052,420,36694
3375,31052,540,71427
3376,31052,100,40004
3378,31054,660,27466
3379,31054,300,4204
3380,31054,190,7116
3381,31054,80,4796
3382,31054,40,3878
3383,31054,50,7472
3384,31054,0,0
3386,31055,1740,71389
3387,31055,850,11353
3388,31055,450,16392
3389,31055,200,12394
3390,31055,110,9758
3391,31055,130,21492
3392,31055,0,0
3394,31057,690,31608
3395,31057,300,4169
3396,31057,190,6734
3397,31057,90,5505
3398,31057,40,3532
3399,31057,70,11668
3400,31057,0,0
3402,31058,570,21983
3403,31058,270,3645
3404,31058,160,5831
3405,31058,70,4571
3406,31058,30,2745
3407,31058,40,5191
3408,31058,0,0
3410,31060,580,22147
3411,31060,280,3652
3412,31060,140,4895
3413,31060,70,4623
3414,31060,50,4542
3415,31060,40,4435
3416,31060,0,0
3418,31061,15000,733393
3419,31061,6890,92560
3420,31061,3590,128656
3421,31061,1740,107789
3422,31061,1050,91571
3423,31061,1380,185577
3424,31061,350,127240
3426,31063,2010,78581
3427,31063,1010,13962
3428,31063,580,20828
3429,31063,220,13289
3430,31063,100,8801
3431,31063,80,10938
3432,31063,20,10763
3434,31064,3990,211294
3435,31064,1610,21240
3436,31064,980,35860
3437,31064,560,34518
3438,31064,370,31771
3439,31064,380,50805
3440,31064,90,37100
3442,31065,490,21797
3443,31065,210,2799
3444,31065,140,4871
3445,31065,60,3849
3446,31065,30,2555
3447,31065,50,7723
3448,31065,0,0
3450,31066,460,24605
3451,31066,160,2141
3452,31066,110,4073
3453,31066,80,4692
3454,31066,50,4546
3455,31066,60,9153
3456,31066,0,0
3458,31068,1180,41996
3459,31068,610,8488
3460,31068,330,11650
3461,31068,100,6179
3462,31068,70,6268
3463,31068,70,9411
3464,31068,0,0
3466,31069,9290,528910
3467,31069,3510,45459
3468,31069,2170,79469
3469,31069,1390,85879
3470,31069,850,74556
3471,31069,1140,151510
3472,31069,230,92037
3474,31070,280,12919
3475,31070,110,1424
3476,31070,80,2820
3477,31070,60,4136
3478,31070,0,0
3479,31070,30,4539
3480,31070,0,0
3482,31071,440,18726
3483,31071,200,2719
3484,31071,120,4111
3485,31071,50,3016
3486,31071,40,3646
3487,31071,30,5234
3488,31071,0,0
3490,31072,450,19130
3491,31072,190,2387
3492,31072,110,4010
3493,31072,70,4316
3494,31072,40,3925
3495,31072,40,4492
3496,31072,0,0
3498,31075,990,44979
3499,31075,410,5607
3500,31075,270,9916
3501,31075,150,9313
3502,31075,70,6253
3503,31075,90,13890
3504,31075,0,0
3506,31076,1160,52412
3507,31076,510,6745
3508,31076,310,11147
3509,31076,150,9053
3510,31076,100,9015
3511,31076,90,16452
3512,31076,0,0
3514,31077,440,20302
3515,31077,210,2721
3516,31077,110,3838
3517,31077,60,3892
3518,31077,30,2807
3519,31077,30,7044
3520,31077,0,0
3522,31078,1340,52342
3523,31078,620,8474
3524,31078,360,12742
3525,31078,190,11628
3526,31078,80,6708
3527,31078,90,12790
3528,31078,0,0
3530,31079,1020,42585
3531,31079,460,6145
3532,31079,260,9403
3533,31079,140,8506
3534,31079,60,5507
3535,31079,100,13024
3536,31079,0,0
3538,31082,4270,242901
3539,31082,1930,25936
3540,31082,1080,38723
3541,31082,500,30794
3542,31082,310,26773
3543,31082,360,47547
3544,31082,90,73128
3546,31085,390,18009
3547,31085,150,1960
3548,31085,120,4294
3549,31085,50,3038
3550,31085,20,2021
3551,31085,50,6696
3552,31085,0,0
3554,31087,3050,117201
3555,31087,1570,22773
3556,31087,840,29499
3557,31087,270,16244
3558,31087,160,13828
3559,31087,180,23259
3560,31087,30,11598
3562,31088,24740,1398073
3563,31088,8870,116698
3564,31088,5850,214361
3565,31088,3680,228219
3566,31088,2540,221566
3567,31088,3310,442943
3568,31088,490,174286
3570,31089,1940,75360
3571,31089,910,12448
3572,31089,570,20379
3573,31089,230,13972
3574,31089,100,9016
3575,31089,130,19545
3576,31089,0,0
3578,31090,360,14233
3579,31090,160,2284
3580,31090,90,3224
3581,31090,60,3639
3582,31090,20,1940
3583,31090,30,3146
3584,31090,0,0
3586,31091,1040,36997
3587,31091,510,7008
3588,31091,310,10845
3589,31091,100,5990
3590,31091,60,4943
3591,31091,60,8211
3592,31091,0,0
3594,31092,2070,90113
3595,31092,970,12982
3596,31092,580,20708
3597,31092,210,12871
3598,31092,130,11766
3599,31092,150,19592
3600,31092,30,12194
3602,31093,11430,436519
3603,31093,5750,77850
3604,31093,2900,102747
3605,31093,1340,82827
3606,31093,700,60175
3607,31093,670,86860
3608,31093,70,26060
3610,31094,420,19417
3611,31094,160,2175
3612,31094,120,4381
3613,31094,60,3807
3614,31094,30,2617
3615,31094,50,6437
3616,31094,0,0
3618,31096,2190,86684
3619,31096,1030,13972
3620,31096,610,21844
3621,31096,250,15730
3622,31096,140,12215
3623,31096,160,22923
3624,31096,0,0
3626,31097,550,24877
3627,31097,200,2488
3628,31097,150,5186
3629,31097,90,5421
3630,31097,60,5236
3631,31097,50,6546
3632,31097,0,0
3634,31098,1130,44717
3635,31098,540,9058
3636,31098,300,10777
3637,31098,150,8863
3638,31098,70,5899
3639,31098,70,10120
3640,31098,0,0
3642,31201,2630,131189
3643,31201,1480,19494
3644,31201,600,21184
3645,31201,240,14292
3646,31201,100,8591
3647,31201,130,17691
3648,31201,80,49937
3650,31204,12080,482920
3651,31204,6600,89351
3652,31204,2800,98259
3653,31204,1170,72044
3654,31204,640,55651
3655,31204,680,92199
3656,31204,190,75416
3658,31206,9960,240576
3659,31206,6700,90070
3660,31206,2350,80846
3661,31206,590,35413
3662,31206,190,15966
3663,31206,130,18281
3664,31206,0,0
3666,31210,15510,1463704
3667,31210,5170,66323
3668,31210,3390,123363
3669,31210,1900,117873
3670,31210,1340,117745
3671,31210,2400,334702
3672,31210,1310,703698
3674,31211,6690,298052
3675,31211,3050,41300
3676,31211,1740,61934
3677,31211,830,51171
3678,31211,440,37779
3679,31211,530,69940
3680,31211,100,35928
3682,31216,6940,381080
3683,31216,2290,30180
3684,31216,1770,65676
3685,31216,1150,71626
3686,31216,750,65014
3687,31216,890,116302
3688,31216,90,32282
3690,31217,6780,218085
3691,31217,3700,49562
3692,31217,1800,63753
3693,31217,710,43026
3694,31217,340,28971
3695,31217,230,32773
3696,31217,0,0
3698,31220,6440,429919
3699,31220,2230,29229
3700,31220,1670,60636
3701,31220,930,58092
3702,31220,550,47937
3703,31220,760,104636
3704,31220,300,129389
3706,31301,1550,59567
3707,31301,680,9106
3708,31301,470,17041
3709,31301,190,11777
3710,31301,110,9392
3711,31301,100,12251
3712,31301,0,0
3714,31302,3400,183748
3715,31302,1220,15878
3716,31302,890,32540
3717,31302,520,31954
3718,31302,350,30248
3719,31302,380,49130
3720,31302,40,23998
3722,31303,980,51747
3723,31303,370,4793
3724,31303,220,8025
3725,31303,150,9434
3726,31303,90,7583
3727,31303,150,21912
3728,31303,0,0
3730,31305,2190,99791
3731,31305,1000,13218
3732,31305,530,18933
3733,31305,280,17036
3734,31305,160,14403
3735,31305,180,22744
3736,31305,40,13457
3738,31308,3400,159254
3739,31308,1270,16516
3740,31308,920,33877
3741,31308,540,33768
3742,31308,340,29617
3743,31308,300,37566
3744,31308,30,7910
3746,31309,360,17902
3747,31309,130,1641
3748,31309,80,2981
3749,31309,70,4064
3750,31309,40,3805
3751,31309,40,5411
3752,31309,0,0
3754,31312,9360,585083
3755,31312,2710,33782
3756,31312,2050,76993
3757,31312,1550,96489
3758,31312,1220,106936
3759,31312,1660,219520
3760,31312,170,51363
3762,31313,16100,634745
3763,31313,6700,92045
3764,31313,5320,191232
3765,31313,2150,132276
3766,31313,1030,89700
3767,31313,840,107706
3768,31313,60,21786
3770,31314,870,20719
3771,31314,470,8868
3772,31314,400,11851
3773,31314,0,0
3774,31314,0,0
3775,31314,0,0
3776,31314,0,0
3778,31315,2760,102332
3779,31315,840,14467
3780,31315,1390,48894
3781,31315,340,20133
3782,31315,110,8883
3783,31315,80,9955
3784,31315,0,0
3786,31316,4360,188488
3787,31316,1650,21861
3788,31316,1310,48043
3789,31316,720,44378
3790,31316,360,31434
3791,31316,320,42772
3792,31316,0,0
3794,31320,4140,227592
3795,31320,1570,20299
3796,31320,1060,39000
3797,31320,620,38551
3798,31320,410,35574
3799,31320,420,55406
3800,31320,60,38762
3802,31321,2880,140167
3803,31321,1160,15215
3804,31321,750,27409
3805,31321,410,25275
3806,31321,250,22099
3807,31321,270,36591
3808,31321,40,13578
3810,31322,12110,814305
3811,31322,3540,46149
3812,31322,3000,111868
3813,31322,1960,122350
3814,31322,1330,117030
3815,31322,1870,254644
3816,31322,410,162264
3818,31323,750,28362
3819,31323,350,4679
3820,31323,210,7803
3821,31323,90,5672
3822,31323,50,4328
3823,31323,50,5880
3824,31323,0,0
3826,31324,12770,1009042
3827,31324,3430,40871
3828,31324,2510,94896
3829,31324,1950,122317
3830,31324,1560,137522
3831,31324,2710,373461
3832,31324,610,239975
3834,31326,9670,595246
3835,31326,3100,38839
3836,31326,2150,79317
3837,31326,1490,93585
3838,31326,1140,100195
3839,31326,1580,211714
3840,31326,210,71596
3842,31328,1650,155146
3843,31328,470,5807
3844,31328,300,11358
3845,31328,220,14049
3846,31328,160,14249
3847,31328,340,46725
3848,31328,160,62958
3850,31329,3840,210325
3851,31329,1390,17747
3852,31329,960,35388
3853,31329,570,35579
3854,31329,400,35051
3855,31329,450,59288
3856,31329,70,27272
3858,31331,2290,129461
3859,31331,960,12688
3860,31331,530,19330
3861,31331,320,19873
3862,31331,190,17089
3863,31331,230,31361
3864,31331,60,29120
3866,31401,7310,531372
3867,31401,3690,47251
3868,31401,1640,59598
3869,31401,690,42732
3870,31401,380,33296
3871,31401,550,77297
3872,31401,360,271198
3874,31404,13270,493936
3875,31404,7300,97793
3876,31404,3590,126867
3877,31404,1190,73090
3878,31404,510,44446
3879,31404,540,73497
3880,31404,140,78243
3882,31405,15320,998675
3883,31405,6280,83072
3884,31405,3690,133036
3885,31405,1840,114692
3886,31405,1040,90922
3887,31405,1740,241998
3888,31405,730,334955
3890,31406,15410,1077802
3891,31406,6180,82463
3892,31406,3810,137359
3893,31406,1980,122055
3894,31406,1070,93290
3895,31406,1570,217286
3896,31406,800,425349
3898,31407,8190,422793
3899,31407,2520,33970
3900,31407,2440,90418
3901,31407,1430,88372
3902,31407,850,73568
3903,31407,880,116133
3904,31407,70,20332
3906,31408,3900,129676
3907,31408,2060,28473
3908,31408,1150,40616
3909,31408,380,23453
3910,31408,150,12539
3911,31408,160,24595
3912,31408,0,0
3914,31410,11530,1095696
3915,31410,3090,37407
3916,31410,2280,86169
3917,31410,1670,104596
3918,31410,1300,115160
3919,31410,2240,310094
3920,31410,950,442270
3922,31411,4580,930634
3923,31411,590,6297
3924,31411,370,13576
3925,31411,440,28091
3926,31411,420,36829
3927,31411,1430,211562
3928,31411,1330,634279
3930,31415,4730,116795
3931,31415,3150,42362
3932,31415,1150,39486
3933,31415,250,15046
3934,31415,90,7534
3935,31415,90,12367
3936,31415,0,0
3938,31419,24150,1204069
3939,31419,9400,125898
3940,31419,6870,250014
3941,31419,3380,209454
3942,31419,1870,162577
3943,31419,2190,292771
3944,31419,440,163355
3946,31501,5320,233804
3947,31501,2690,35744
3948,31501,1350,47641
3949,31501,560,34971
3950,31501,310,27063
3951,31501,330,43749
3952,31501,80,44636
3954,31503,7920,343604
3955,31503,3590,47436
3956,31503,2120,76160
3957,31503,1050,64501
3958,31503,540,46389
3959,31503,530,69008
3960,31503,90,40110
3962,31510,3670,170986
3963,31510,1730,22860
3964,31510,910,32921
3965,31510,440,27431
3966,31510,240,20932
3967,31510,290,37966
3968,31510,60,28876
3970,31512,720,33489
3971,31512,310,4196
3972,31512,220,7745
3973,31512,90,5567
3974,31512,40,4002
3975,31512,60,11979
3976,31512,0,0
3978,31513,5820,277678
3979,31513,2620,34396
3980,31513,1460,52416
3981,31513,680,42180
3982,31513,450,39507
3983,31513,520,69930
3984,31513,90,39249
3986,31516,5990,314771
3987,31516,2580,33173
3988,31516,1510,54589
3989,31516,750,46427
3990,31516,440,38039
3991,31516,580,75320
3992,31516,130,67223
3994,31518,270,11662
3995,31518,100,1277
3996,31518,80,2723
3997,31518,40,2171
3998,31518,30,2407
3999,31518,20,3084
4000,31518,0,0
4002,31519,1410,61918
4003,31519,650,8670
4004,31519,360,12737
4005,31519,170,10598
4006,31519,80,7104
4007,31519,120,15662
4008,31519,30,7147
4010,31520,8430,304304
4011,31520,4950,66348
4012,31520,2020,71135
4013,31520,730,45050
4014,31520,340,29672
4015,31520,310,40900
4016,31520,80,51199
4018,31522,8860,1109086
4019,31522,2260,27194
4020,31522,1330,50367
4021,31522,1150,73653
4022,31522,880,78043
4023,31522,1980,281237
4024,31522,1260,598592
4026,31523,6530,406615
4027,31523,2270,28173
4028,31523,1430,52816
4029,31523,910,56722
4030,31523,690,60640
4031,31523,1020,137032
4032,31523,210,71232
4034,31525,12710,602392
4035,31525,5270,70066
4036,31525,3260,118309
4037,31525,1660,102388
4038,31525,1090,95401
4039,31525,1290,168594
4040,31525,140,47634
4042,31527,440,38240
4043,31527,100,1251
4044,31527,90,3377
4045,31527,80,5151
4046,31527,40,3693
4047,31527,100,14619
4048,31527,30,10149
4050,31532,220,10544
4051,31532,80,1033
4052,31532,70,2419
4053,31532,50,3602
4054,31532,0,0
4055,31532,20,3490
4056,31532,0,0
4058,31533,5860,240169
4059,31533,3240,43584
4060,31533,1460,50909
4061,31533,490,30189
4062,31533,270,23698
4063,31533,290,39271
4064,31533,110,52518
4066,31535,4490,205407
4067,31535,2120,29322
4068,31535,1190,42347
4069,31535,510,31673
4070,31535,260,22394
4071,31535,330,43446
4072,31535,80,36225
4074,31537,3000,131202
4075,31537,1280,16946
4076,31537,840,30516
4077,31537,380,23568
4078,31537,240,20803
4079,31537,240,30995
4080,31537,20,8374
4082,31539,5110,243395
4083,31539,2440,32231
4084,31539,1370,48715
4085,31539,580,35689
4086,31539,310,27263
4087,31539,340,44541
4088,31539,70,54956
4090,31542,990,45598
4091,31542,390,5040
4092,31542,240,8971
4093,31542,150,9386
4094,31542,100,8327
4095,31542,110,13874
4096,31542,0,0
4098,31543,1770,69801
4099,31543,770,9792
4100,31543,510,18255
4101,31543,220,13857
4102,31543,140,11700
4103,31543,130,16197
4104,31543,0,0
4106,31544,240,9241
4107,31544,110,1665
4108,31544,70,2639
4109,31544,30,1755
4110,31544,30,3182
4111,31544,0,0
4112,31544,0,0
4114,31545,5800,252000
4115,31545,2700,34683
4116,31545,1380,50003
4117,31545,730,44937
4118,31545,470,41283
4119,31545,460,60515
4120,31545,60,20579
4122,31546,2360,121633
4123,31546,990,12711
4124,31546,530,19562
4125,31546,310,19424
4126,31546,210,18527
4127,31546,260,33373
4128,31546,60,18036
4130,31548,9290,458427
4131,31548,3410,44974
4132,31548,2450,90043
4133,31548,1480,91204
4134,31548,830,72277
4135,31548,1020,134113
4136,31548,100,25816
4138,31549,640,21556
4139,31549,340,4431
4140,31549,170,5955
4141,31549,70,4356
4142,31549,30,2510
4143,31549,30,4304
4144,31549,0,0
4146,31550,310,14956
4147,31550,130,1749
4148,31550,80,3168
4149,31550,40,2667
4150,31550,20,1701
4151,31550,40,5671
4152,31550,0,0
4154,31551,340,14425
4155,31551,130,1774
4156,31551,110,3942
4157,31551,40,2721
4158,31551,30,2395
4159,31551,30,3593
4160,31551,0,0
4162,31552,380,17947
4163,31552,150,2019
4164,31552,100,3389
4165,31552,60,3849
4166,31552,30,2523
4167,31552,40,6167
4168,31552,0,0
4170,31553,1900,78478
4171,31553,850,10653
4172,31553,500,17841
4173,31553,250,15455
4174,31553,150,12975
4175,31553,150,21554
4176,31553,0,0
4178,31554,1930,74286
4179,31554,930,12813
4180,31554,550,19930
4181,31554,220,13454
4182,31554,110,9978
4183,31554,120,18111
4184,31554,0,0
4186,31555,1160,68421
4187,31555,430,5612
4188,31555,260,9528
4189,31555,160,9882
4190,31555,140,12159
4191,31555,170,31240
4192,31555,0,0
4194,31557,1190,56067
4195,31557,490,6218
4196,31557,270,9829
4197,31557,190,11744
4198,31557,120,10006
4199,31557,120,18270
4200,31557,0,0
4202,31558,8880,504194
4203,31558,2970,39214
4204,31558,2390,87446
4205,31558,1310,80897
4206,31558,860,74824
4207,31558,1140,153650
4208,31558,210,68163
4210,31560,990,49734
4211,31560,380,5032
4212,31560,270,9873
4213,31560,160,10193
4214,31560,80,6893
4215,31560,100,17743
4216,31560,0,0
4218,31562,610,24114
4219,31562,250,3191
4220,31562,170,6181
4221,31562,110,6537
4222,31562,50,4313
4223,31562,30,3892
4224,31562,0,0
4226,31563,500,23267
4227,31563,200,2484
4228,31563,130,4601
4229,31563,70,4285
4230,31563,50,4109
4231,31563,50,7788
4232,31563,0,0
4234,31565,940,57959
4235,31565,320,4116
4236,31565,200,7325
4237,31565,130,7693
4238,31565,110,9268
4239,31565,150,20951
4240,31565,30,8606
4242,31566,1240,48002
4243,31566,560,7504
4244,31566,350,12626
4245,31566,160,9938
4246,31566,100,8388
4247,31566,70,9546
4248,31566,0,0
4250,31567,290,12209
4251,31567,130,1797
4252,31567,80,2885
4253,31567,60,4090
4254,31567,0,0
4255,31567,20,3437
4256,31567,0,0
4258,31568,410,21729
4259,31568,160,2133
4260,31568,80,2709
4261,31568,60,3847
4262,31568,40,3200
4263,31568,70,9840
4264,31568,0,0
4266,31569,2280,133605
4267,31569,770,9945
4268,31569,530,19566
4269,31569,350,21668
4270,31569,270,23675
4271,31569,320,43043
4272,31569,40,15708
4274,31601,11510,408637
4275,31601,6960,90197
4276,31601,2720,94629
4277,31601,870,53260
4278,31601,410,36375
4279,31601,430,57122
4280,31601,120,77054
4282,31602,13700,741017
4283,31602,6490,85368
4284,31602,3330,119196
4285,31602,1440,89279
4286,31602,780,67657
4287,31602,1220,166226
4288,31602,440,213291
4290,31605,9480,550203
4291,31605,3390,46236
4292,31605,2750,99488
4293,31605,1370,84528
4294,31605,810,70123
4295,31605,920,122697
4296,31605,240,127131
4298,31606,1550,70834
4299,31606,620,8229
4300,31606,450,16104
4301,31606,190,11493
4302,31606,130,11726
4303,31606,160,23282
4304,31606,0,0
4306,31620,4040,179802
4307,31620,1940,25482
4308,31620,1040,37462
4309,31620,470,28989
4310,31620,280,24388
4311,31620,260,34571
4312,31620,50,28910
4314,31622,710,34663
4315,31622,330,4582
4316,31622,180,6459
4317,31622,80,5186
4318,31622,50,4521
4319,31622,70,13915
4320,31622,0,0
4322,31624,500,19032
4323,31624,220,2893
4324,31624,160,5530
4325,31624,70,4010
4326,31624,30,2830
4327,31624,20,3769
4328,31624,0,0
4330,31625,430,19751
4331,31625,190,2582
4332,31625,110,3832
4333,31625,60,3701
4334,31625,30,2781
4335,31625,40,6855
4336,31625,0,0
4338,31626,1320,57491
4339,31626,560,7327
4340,31626,410,14559
4341,31626,130,7781
4342,31626,100,8647
4343,31626,100,12858
4344,31626,20,6319
4346,31629,350,15704
4347,31629,140,1867
4348,31629,110,3896
4349,31629,50,2732
4350,31629,20,1721
4351,31629,30,5488
4352,31629,0,0
4354,31630,170,6247
4355,31630,80,1065
4356,31630,50,1714
4357,31630,20,1211
4358,31630,20,2257
4359,31630,0,0
4360,31630,0,0
4362,31631,180,6310
4363,31631,70,902
4364,31631,70,2408
4365,31631,40,3000
4366,31631,0,0
4367,31631,0,0
4368,31631,0,0
4370,31632,5170,325607
4371,31632,1760,22477
4372,31632,1210,44525
4373,31632,730,45785
4374,31632,560,49061
4375,31632,740,97157
4376,31632,170,66602
4378,31634,2000,96389
4379,31634,940,12685
4380,31634,540,19532
4381,31634,240,15052
4382,31634,120,10073
4383,31634,120,16638
4384,31634,40,22409
4386,31635,2200,87466
4387,31635,1030,13849
4388,31635,610,21899
4389,31635,280,17094
4390,31635,140,12006
4391,31635,140,22618
4392,31635,0,0
4394,31636,4170,229498
4395,31636,1670,21132
4396,31636,1030,37355
4397,31636,550,34091
4398,31636,370,32184
4399,31636,470,62840
4400,31636,80,41896
4402,31637,1050,45018
4403,31637,450,5930
4404,31637,300,11052
4405,31637,150,9075
4406,31637,70,6035
4407,31637,80,12926
4408,31637,0,0
4410,31638,370,15011
4411,31638,180,2503
4412,31638,100,3576
4413,31638,40,2295
4414,31638,20,1917
4415,31638,30,4720
4416,31638,0,0
4418,31639,3820,177704
4419,31639,1800,24778
4420,31639,950,33845
4421,31639,470,28982
4422,31639,270,23275
4423,31639,270,35653
4424,31639,60,31171
4426,31641,800,38003
4427,31641,340,4561
4428,31641,190,7059
4429,31641,120,7625
4430,31641,70,6466
4431,31641,80,12292
4432,31641,0,0
4434,31642,1770,59410
4435,31642,950,13284
4436,31642,490,17350
4437,31642,190,11669
4438,31642,70,5868
4439,31642,70,11239
4440,31642,0,0
4442,31643,3270,145298
4443,31643,1630,22006
4444,31643,880,31177
4445,31643,320,19856
4446,31643,190,16947
4447,31643,200,26009
4448,31643,50,29303
4450,31645,1740,64207
4451,31645,810,10843
4452,31645,510,18338
4453,31645,240,14726
4454,31645,100,8807
4455,31645,80,11493
4456,31645,0,0
4458,31647,1280,40753
4459,31647,730,9813
4460,31647,350,12400
4461,31647,100,6456
4462,31647,50,4328
4463,31647,50,7756
4464,31647,0,0
4466,31648,340,10824
4467,31648,190,2543
4468,31648,90,3206
4469,31648,30,1805
4470,31648,30,3270
4471,31648,0,0
4472,31648,0,0
4474,31649,270,11153
4475,31649,110,1510
4476,31649,70,2458
4477,31649,60,3793
4478,31649,0,0
4479,31649,30,3392
4480,31649,0,0
4482,31650,1150,41489
4483,31650,580,7941
4484,31650,340,12029
4485,31650,120,7355
4486,31650,60,5160
4487,31650,50,9004
4488,31650,0,0
4490,31701,6710,215921
4491,31701,4290,57619
4492,31701,1420,49185
4493,31701,470,28899
4494,31701,210,18132
4495,31701,250,33020
4496,31701,70,29066
4498,31705,11040,337615
4499,31705,6480,88031
4500,31705,2840,98843
4501,31705,940,57699
4502,31705,420,36610
4503,31705,320,41651
4504,31705,40,14781
4506,31707,10140,409157
4507,31707,4960,68486
4508,31707,2810,100174
4509,31707,1110,68097
4510,31707,530,45659
4511,31707,580,77315
4512,31707,150,49426
4514,31709,5970,289658
4515,31709,2820,37639
4516,31709,1550,54906
4517,31709,660,40918
4518,31709,360,31833
4519,31709,440,59175
4520,31709,140,65187
4522,31711,330,13153
4523,31711,140,1759
4524,31711,90,3382
4525,31711,70,4698
4526,31711,0,0
4527,31711,30,3314
4528,31711,0,0
4530,31712,430,17860
4531,31712,180,2474
4532,31712,110,4035
4533,31712,70,4001
4534,31712,40,3434
4535,31712,30,3916
4536,31712,0,0
4538,31714,2540,88312
4539,31714,1470,19863
4540,31714,580,20803
4541,31714,230,14020
4542,31714,110,9134
4543,31714,130,16788
4544,31714,20,7704
4546,31716,1100,43542
4547,31716,500,6480
4548,31716,310,10937
4549,31716,140,8720
4550,31716,70,6147
4551,31716,80,11258
4552,31716,0,0
4554,31719,3360,129064
4555,31719,1830,24774
4556,31719,860,30231
4557,31719,310,18963
4558,31719,160,14121
4559,31719,170,23523
4560,31719,30,17452
4562,31721,8670,633158
4563,31721,3090,40492
4564,31721,1920,70034
4565,31721,1170,73135
4566,31721,820,71444
4567,31721,1190,161659
4568,31721,480,216394
4570,31730,3580,154040
4571,31730,1750,23983
4572,31730,1040,36574
4573,31730,340,21002
4574,31730,180,15582
4575,31730,220,30460
4576,31730,50,26439
4578,31733,670,56058
4579,31733,240,2937
4580,31733,160,5705
4581,31733,90,5505
4582,31733,50,4543
4583,31733,100,13365
4584,31733,30,24003
4586,31735,350,21401
4587,31735,130,1710
4588,31735,80,3092
4589,31735,50,3132
4590,31735,30,2493
4591,31735,60,10974
4592,31735,0,0
4594,31738,880,45319
4595,31738,380,5061
4596,31738,240,8310
4597,31738,100,6155
4598,31738,80,6431
4599,31738,80,19362
4600,31738,0,0
4602,31743,210,6359
4603,31743,120,1653
4604,31743,60,1834
4605,31743,30,2872
4606,31743,0,0
4607,31743,0,0
4608,31743,0,0
4610,31744,1180,55409
4611,31744,480,6641
4612,31744,340,12395
4613,31744,180,11088
4614,31744,100,8663
4615,31744,80,16622
4616,31744,0,0
4618,31749,860,33819
4619,31749,410,5806
4620,31749,240,8558
4621,31749,100,6235
4622,31749,60,4975
4623,31749,50,8245
4624,31749,0,0
4626,31750,6720,289440
4627,31750,3290,43815
4628,31750,1770,63165
4629,31750,750,45980
4630,31750,400,35119
4631,31750,420,55220
4632,31750,90,46141
4634,31756,370,18403
4635,31756,150,2041
4636,31756,80,2949
4637,31756,60,4145
4638,31756,40,3153
4639,31756,40,6115
4640,31756,0,0
4642,31757,4270,234135
4643,31757,1650,21642
4644,31757,1060,38295
4645,31757,540,33535
4646,31757,390,33807
4647,31757,510,68042
4648,31757,120,38814
4650,31763,11230,698794
4651,31763,3780,48774
4652,31763,2580,94236
4653,31763,1740,108407
4654,31763,1150,100602
4655,31763,1660,219419
4656,31763,320,127356
4658,31764,530,22049
4659,31764,240,3180
4660,31764,140,5020
4661,31764,70,4004
4662,31764,40,3511
4663,31764,40,6334
4664,31764,0,0
4666,31765,950,38061
4667,31765,430,5864
4668,31765,280,9632
4669,31765,120,7325
4670,31765,50,4277
4671,31765,70,10963
4672,31765,0,0
4674,31768,8020,350639
4675,31768,4180,56541
4676,31768,2030,71054
4677,31768,710,43277
4678,31768,380,33350
4679,31768,550,74199
4680,31768,170,72218
4682,31771,1960,83158
4683,31771,950,13114
4684,31771,540,19217
4685,31771,220,13280
4686,31771,110,9976
4687,31771,110,14827
4688,31771,30,12744
4690,31772,190,8187
4691,31772,60,866
4692,31772,60,1912
4693,31772,40,2353
4694,31772,30,3056
4695,31772,0,0
4696,31772,0,0
4698,31773,1550,75535
4699,31773,590,7314
4700,31773,440,15620
4701,31773,210,13260
4702,31773,140,12201
4703,31773,150,20280
4704,31773,20,6860
4706,31774,2370,94735
4707,31774,1170,15585
4708,31774,610,21872
4709,31774,280,17166
4710,31774,140,12782
4711,31774,140,18118
4712,31774,30,9212
4714,31775,1120,46731
4715,31775,550,7751
4716,31775,320,11181
4717,31775,130,8153
4718,31775,50,4577
4719,31775,70,15069
4720,31775,0,0
4722,31778,950,41323
4723,31778,420,5433
4724,31778,260,9202
4725,31778,120,7777
4726,31778,80,7308
4727,31778,70,11603
4728,31778,0,0
4730,31779,2930,113796
4731,31779,1490,20294
4732,31779,780,27780
4733,31779,300,18635
4734,31779,170,14254
4735,31779,160,20941
4736,31779,30,11892
4738,31780,710,32731
4739,31780,330,4470
4740,31780,190,6655
4741,31780,80,4929
4742,31780,40,3519
4743,31780,70,13158
4744,31780,0,0
