,Apt ID,Apt Latitude,Apt Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,0,33.92650089999999,-84.33485440000001,Marq Eight,33.926738,-84.334704,Residential Building (Apartment / Condo)
1,0,33.92650089999999,-84.33485440000001,Axis at Perimeter,33.92670790999875,-84.33505704205832,Residential Building (Apartment / Condo)
2,0,33.92650089999999,-84.33485440000001,Fidelity Bank,33.926746,-84.336621,Bank
3,0,33.92650089999999,-84.33485440000001,Texaco,33.92672207842795,-84.33434821742976,Gas Station
4,0,33.92650089999999,-84.33485440000001,Bank of America,33.92634322059915,-84.33679849362017,Bank
5,0,33.92650089999999,-84.33485440000001,Eclipse di Luna,33.92499533333819,-84.335298213249,Tapas Restaurant
6,0,33.92650089999999,-84.33485440000001,The Brass Tap,33.92484567393381,-84.33603714369008,Beer Bar
7,0,33.92650089999999,-84.33485440000001,Cafe Intermezzo,33.92510893117569,-84.33570259117188,Café
8,0,33.92650089999999,-84.33485440000001,Hampton Inn & Suites,33.9278154,-84.3359413,Hotel
9,0,33.92650089999999,-84.33485440000001,Zinburger Wine & Burger Bar,33.927478437804645,-84.33677761770782,Burger Joint
10,0,33.92650089999999,-84.33485440000001,McKendrick's Steak House,33.92511,-84.33598,Steakhouse
11,0,33.92650089999999,-84.33485440000001,Quidditch Stadium,33.926838670712804,-84.3346409938498,College Stadium
12,0,33.92650089999999,-84.33485440000001,Prescott @ Park Place,33.925657,-84.33449399999999,Parking
13,0,33.92650089999999,-84.33485440000001,Sage Woodfire Tavern Perimeter,33.9248539,-84.33604580000001,American Restaurant
14,0,33.92650089999999,-84.33485440000001,McDonald's,33.92682778886585,-84.3376745365095,Fast Food Restaurant
15,0,33.92650089999999,-84.33485440000001,AXIS Dogpark,33.92650276334306,-84.33512178736632,Dog Run
16,0,33.92650089999999,-84.33485440000001,Le Méridien Atlanta Perimeter Hotel,33.92779593922544,-84.33860242366791,Hotel
17,0,33.92650089999999,-84.33485440000001,La Meridian,33.92777633666992,-84.33837890625,Cocktail Bar
18,0,33.92650089999999,-84.33485440000001,Park Place,33.92644207965443,-84.3351708983213,Shopping Plaza
19,0,33.92650089999999,-84.33485440000001,Talbots,33.923954,-84.341488,Women's Store
20,0,33.92650089999999,-84.33485440000001,Fidelity Investments,33.925072246872624,-84.33635653180866,Financial or Legal Service
21,0,33.92650089999999,-84.33485440000001,Balance Salon,33.92510168508979,-84.33559381438,Salon / Barbershop
22,0,33.92650089999999,-84.33485440000001,Lifeline Smartphone & Tablet Repair,33.92522379887696,-84.33486699570896,Electronics Store
23,0,33.92650089999999,-84.33485440000001,303 Cafe,33.929193753007496,-84.33507298618369,Restaurant
24,0,33.92650089999999,-84.33485440000001,California Pizza Kitchen at Perimeter,33.928364,-84.33752,Pizza Place
25,0,33.92650089999999,-84.33485440000001,Eye Elements,33.92505074847729,-84.33603920590261,Optical Shop
26,0,33.92650089999999,-84.33485440000001,Allen Edmonds,33.92501475,-84.33602627,Shoe Store
27,0,33.92650089999999,-84.33485440000001,Sola Salon Studios,33.925096,-84.336078,Health & Beauty Service
28,0,33.92650089999999,-84.33485440000001,"Regus - Georgia, Atlanta - Sterling Pointe (Office Suites Plus)",33.9283,-84.3337,Business Service
29,0,33.92650089999999,-84.33485440000001,Alon's Bakery & Market,33.92455992359866,-84.33640231153925,Bakery
30,0,33.92650089999999,-84.33485440000001,Allen Edmonds,33.92510104397002,-84.33649007459152,Shoe Store
31,0,33.92650089999999,-84.33485440000001,Savannah Leasing and Business Center,33.925722,-84.333393,Residential Building (Apartment / Condo)
32,0,33.92650089999999,-84.33485440000001,Flex Fitness @ Axis at Perimeter,33.92647069120774,-84.33514701713958,Gym
33,0,33.92650089999999,-84.33485440000001,Winestyles,33.929081,-84.335579,Wine Bar
34,0,33.92650089999999,-84.33485440000001,Corner Bakery,33.926321,-84.337494,American Restaurant
35,0,33.92650089999999,-84.33485440000001,Savannah at Park Place Apartments,33.92534511247129,-84.3324696614867,Residential Building (Apartment / Condo)
36,0,33.92650089999999,-84.33485440000001,Loop Run,33.92532943876403,-84.33246321038871,Trail
37,0,33.92650089999999,-84.33485440000001,Viet Nomie's Food Truck,33.92925100864304,-84.33480535892396,Food Truck
38,0,33.92650089999999,-84.33485440000001,Magic Midway Fair,33.925554,-84.338295,General Entertainment
39,0,33.92650089999999,-84.33485440000001,Sterling Pointe Gym,33.92891249240954,-84.33548746903502,Gym
40,0,33.92650089999999,-84.33485440000001,H. Stockton Atlanta,33.924903,-84.33581,Men's Store
41,0,33.92650089999999,-84.33485440000001,Marriott Execustay Apartments Heights at Perimeter Center Atlanta (Georgia),33.924469,-84.337114,Hotel
42,0,33.92650089999999,-84.33485440000001,Mercedes-Benz USA,33.92895914239165,-84.33549508714711,Office
43,0,33.92650089999999,-84.33485440000001,Munich Re,33.92634367991078,-84.33708587717862,Office
44,0,33.92650089999999,-84.33485440000001,OnCore Pilates & Physical Therapy,33.92482701656273,-84.33695554733276,Physical Therapist
45,0,33.92650089999999,-84.33485440000001,Sterling Pointe,33.9289224961154,-84.33477972671373,Building
46,0,33.92650089999999,-84.33485440000001,303 Perimeter Center North,33.92900011880541,-84.33532926954868,Office
47,0,33.92650089999999,-84.33485440000001,Varsity Food Truck,33.924511507275774,-84.33221141931271,American Restaurant
48,0,33.92650089999999,-84.33485440000001,Arrive Perimeter @Pool,33.92775724328193,-84.33169261773757,Pool
49,1,33.9246922,-84.31242979999998,Gilly's Pub,33.923519,-84.311545,Pub
