,SchoolName,Latitude,Longitude
0,White Elementary School,34.27773565,-84.7631406766655
1,Whitesburg Elementary School,33.498383213308784,-84.91734648766491
2,Creekview High School,34.23540375,-84.33652400363108
3,Avery Elementary School,34.2152701,-84.39477711485176
4,Bascomb Elementary School,34.14233106122449,-84.58588032653061
5,R.M. Moore Elementary School STEM Academy,34.33753247540895,-84.52993394693868
6,Clarkdale Elementary School,33.84215245,-84.63268820231416
7,Walton High School,33.989809050000005,-84.44004004531918
8,Garrison Mill Elementary School,34.05001095,-84.43499375923182
9,Harrison High School,33.96717165,-84.68323968812057
10,Kemp Elementary School,33.9297296,-84.70210679701741
11,Dodgen Middle School,33.99156175,-84.4450728597395
12,Mount Bethel Elementary School,33.981749900000004,-84.42670799999999
13,Addison Elementary School,34.024076061224484,-84.48961952040816
14,Sprayberry High School,34.0117433,-84.49817258357433
15,Murdock Elementary School,34.00671255,-84.46235727114096
16,Lassiter High School,34.04382535,-84.47398560292345
17,Simpson Middle School,34.032608,-84.47877637264426
18,Hightower Trail Middle School,34.017613100000005,-84.43782727887056
19,Palmer Middle School,42.886629,-77.17048249999999
20,Hillgrove High School,33.92598895,-84.6667130103687
21,Madras Middle School,33.438704891952355,-84.75780276129827
22,Vanderlyn Elementary School,33.946296700000005,-84.31188975781669
23,Austin Elementary School,33.958385,-84.33619214285714
24,Dunwoody Elementary School,33.94347352173913,-84.30825226086957
25,Kittredge Magnet School,33.916124142881685,-84.31869243748814
26,Dekalb Early College Academy,33.83162188625984,-84.19788768402375
27,DeKalb School of the Arts,33.75739755935898,-84.26957502159583
28,Holly Springs Elementary School,33.67105341265945,-84.72079550429345
29,McIntosh High School,33.417682,-84.564638
30,Braelinn Elementary School,33.39524799033402,-84.5504955029238
31,Sandy Creek High School,33.495096999999994,-84.57366800000001
32,Kedron Elementary School,33.4302146,-84.59827779999999
33,Starr's Mill High School,33.3436121,-84.521254
34,Spring Hill Elementary School,33.44476258019733,-84.46879070324407
35,Rising Starr Middle School,33.3436121,-84.521254
36,Settles Bridge Elementary School,34.12326135,-84.10628104817106
